Award Title,film_name,Nominee Name(s),Won,Year,url
Actor in a Supporting Role,Dallas Buyers Club,Jared Leto,1,2014,https://letterboxd.com/film/dallas-buyers-club/
Actor in a Supporting Role,Captain Phillips,Barkhad Abdi,0,2014,https://letterboxd.com/film/captain-phillips/
Actor in a Supporting Role,American Hustle,Bradley Cooper,0,2014,https://letterboxd.com/film/american-hustle/
Actor in a Supporting Role,12 Years a Slave,Michael Fassbender,0,2014,https://letterboxd.com/film/12-years-a-slave/
Actor in a Supporting Role,The Wolf of Wall Street,Jonah Hill,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Actress in a Leading Role,Blue Jasmine,Cate Blanchett,1,2014,https://letterboxd.com/film/blue-jasmine/
Actress in a Leading Role,American Hustle,Amy Adams,0,2014,https://letterboxd.com/film/american-hustle/
Actress in a Leading Role,Gravity,Sandra Bullock,0,2014,https://letterboxd.com/film/gravity-2013/
Actress in a Leading Role,Philomena,Judi Dench,0,2014,https://letterboxd.com/film/philomena/
Actress in a Leading Role,August: Osage County,Meryl Streep,0,2014,https://letterboxd.com/film/august-osage-county/
Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o,1,2014,https://letterboxd.com/film/12-years-a-slave/
Actress in a Supporting Role,Blue Jasmine,Sally Hawkins,0,2014,https://letterboxd.com/film/blue-jasmine/
Actress in a Supporting Role,American Hustle,Jennifer Lawrence,0,2014,https://letterboxd.com/film/american-hustle/
Actress in a Supporting Role,August: Osage County,Julia Roberts,0,2014,https://letterboxd.com/film/august-osage-county/
Actress in a Supporting Role,Nebraska,June Squibb,0,2014,https://letterboxd.com/film/nebraska/
Animated Feature Film,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho",1,2014,https://letterboxd.com/film/frozen-2013/
Animated Feature Film,The Croods,"Chris Sanders, Kirk DeMicco and Kristine Belson",0,2014,https://letterboxd.com/film/the-croods/
Animated Feature Film,Despicable Me 2,"Chris Renaud, Pierre Coffin and Chris Meledandri",0,2014,https://letterboxd.com/film/despicable-me-2/
Animated Feature Film,Ernest & Celestine,Benjamin Renner and Didier Brunner,0,2014,https://letterboxd.com/film/ernest-celestine/
Animated Feature Film,The Wind Rises,Hayao Miyazaki and Toshio Suzuki,0,2014,https://letterboxd.com/film/the-wind-rises/
Cinematography,Gravity,Emmanuel Lubezki,1,2014,https://letterboxd.com/film/gravity-2013/
Cinematography,The Grandmaster,Philippe Le Sourd,0,2014,https://letterboxd.com/film/the-grandmaster/
Cinematography,Inside Llewyn Davis,Bruno Delbonnel,0,2014,https://letterboxd.com/film/inside-llewyn-davis/
Cinematography,Nebraska,Phedon Papamichael,0,2014,https://letterboxd.com/film/nebraska/
Cinematography,Prisoners,Roger A. Deakins,0,2014,https://letterboxd.com/film/prisoners/
Costume Design,The Great Gatsby,Catherine Martin,1,2014,https://letterboxd.com/film/the-great-gatsby-2013/
Costume Design,American Hustle,Michael Wilkinson,0,2014,https://letterboxd.com/film/american-hustle/
Costume Design,The Grandmaster,William Chang Suk Ping,0,2014,https://letterboxd.com/film/the-grandmaster/
Costume Design,The Invisible Woman,Michael O'Connor,0,2014,https://letterboxd.com/film/the-invisible-woman-2013/
Costume Design,12 Years a Slave,Patricia Norris,0,2014,https://letterboxd.com/film/12-years-a-slave/
Directing,Gravity,Alfonso Cuarón,1,2014,https://letterboxd.com/film/gravity-2013/
Directing,American Hustle,David O. Russell,0,2014,https://letterboxd.com/film/american-hustle/
Directing,Nebraska,Alexander Payne,0,2014,https://letterboxd.com/film/nebraska/
Directing,12 Years a Slave,Steve McQueen,0,2014,https://letterboxd.com/film/12-years-a-slave/
Directing,The Wolf of Wall Street,Martin Scorsese,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Documentary (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers",1,2014,https://letterboxd.com/film/20-feet-from-stardom/
Documentary (Feature),The Act of Killing,Joshua Oppenheimer and Signe Byrge Sørensen,0,2014,https://letterboxd.com/film/the-act-of-killing/
Documentary (Feature),Cutie and the Boxer,Zachary Heinzerling and Lydia Dean Pilcher,0,2014,https://letterboxd.com/film/cutie-and-the-boxer/
Documentary (Feature),Dirty Wars,Richard Rowley and Jeremy Scahill,0,2014,https://letterboxd.com/film/dirty-wars/
Documentary (Feature),The Square,Jehane Noujaim and Karim Amer,0,2014,https://letterboxd.com/film/the-square-2013/
Documentary (Short Subject),The Lady in Number 6: Music Saved My Life,Malcolm Clarke and Nicholas Reed,1,2014,https://letterboxd.com/film/the-lady-in-number-6-music-saved-my-life/
Documentary (Short Subject),CaveDigger,Jeffrey Karoff,0,2014,https://letterboxd.com/film/cavedigger/
Documentary (Short Subject),Facing Fear,Jason Cohen,0,2014,https://letterboxd.com/film/facing-fear/
Documentary (Short Subject),Karama Has No Walls,Sara Ishaq,0,2014,https://letterboxd.com/film/karama-has-no-walls/
Documentary (Short Subject),Prison Terminal: The Last Days of Private Jack Hall,Edgar Barens,0,2014,https://letterboxd.com/film/prison-terminal-the-last-days-of-private-jack-hall/
Film Editing,Gravity,Alfonso Cuarón and Mark Sanger,1,2014,https://letterboxd.com/film/gravity-2013/
Film Editing,American Hustle,"Jay Cassidy, Crispin Struthers and Alan Baumgarten",0,2014,https://letterboxd.com/film/american-hustle/
Film Editing,Captain Phillips,Christopher Rouse,0,2014,https://letterboxd.com/film/captain-phillips/
Film Editing,Dallas Buyers Club,John Mac McMurphy and Martin Pensa,0,2014,https://letterboxd.com/film/dallas-buyers-club/
Film Editing,12 Years a Slave,Joe Walker,0,2014,https://letterboxd.com/film/12-years-a-slave/
Foreign Language Film,The Great Beauty,Italy,1,2014,https://letterboxd.com/film/the-great-beauty/
Foreign Language Film,The Broken Circle Breakdown,Belgium,0,2014,https://letterboxd.com/film/the-broken-circle-breakdown/
Foreign Language Film,The Hunt,Denmark,0,2014,https://letterboxd.com/film/the-hunt-2013/
Foreign Language Film,The Missing Picture,Cambodia,0,2014,https://letterboxd.com/film/the-missing-picture/
Foreign Language Film,Omar,Palestine,0,2014,https://letterboxd.com/film/omar/
Makeup and Hairstyling,Dallas Buyers Club,Adruitha Lee and Robin Mathews,1,2014,https://letterboxd.com/film/dallas-buyers-club/
Makeup and Hairstyling,Jackass Presents: Bad Grandpa,Stephen Prouty,0,2014,https://letterboxd.com/film/jackass-presents-bad-grandpa/
Makeup and Hairstyling,The Lone Ranger,Joel Harlow and Gloria Pasqua-Casny,0,2014,https://letterboxd.com/film/the-lone-ranger/
Music (Original Score),Gravity,Steven Price,1,2014,https://letterboxd.com/film/gravity-2013/
Music (Original Score),The Book Thief,John Williams,0,2014,https://letterboxd.com/film/the-book-thief/
Music (Original Score),Her,William Butler and Owen Pallett,0,2014,https://letterboxd.com/film/her/
Music (Original Score),Philomena,Alexandre Desplat,0,2014,https://letterboxd.com/film/philomena/
Music (Original Score),Saving Mr. Banks,Thomas Newman,0,2014,https://letterboxd.com/film/saving-mr-banks/
Best Picture,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",1,2014,https://letterboxd.com/film/12-years-a-slave/
Best Picture,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",0,2014,https://letterboxd.com/film/american-hustle/
Best Picture,Captain Phillips,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",0,2014,https://letterboxd.com/film/captain-phillips/
Best Picture,Dallas Buyers Club,"Robbie Brenner and Rachel Winter, Producers",0,2014,https://letterboxd.com/film/dallas-buyers-club/
Best Picture,Gravity,"Alfonso Cuarón and David Heyman, Producers",0,2014,https://letterboxd.com/film/gravity-2013/
Best Picture,Her,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",0,2014,https://letterboxd.com/film/her/
Best Picture,Nebraska,"Albert Berger and Ron Yerxa, Producers",0,2014,https://letterboxd.com/film/nebraska/
Best Picture,Philomena,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",0,2014,https://letterboxd.com/film/philomena/
Best Picture,The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Production Design,The Great Gatsby,Catherine Martin; Beverley Dunn,1,2014,https://letterboxd.com/film/the-great-gatsby-2013/
Production Design,American Hustle,Judy Becker; Heather Loeffler,0,2014,https://letterboxd.com/film/american-hustle/
Production Design,Gravity,Andy Nicholson; Rosie Goodwin and Joanne Woollard,0,2014,https://letterboxd.com/film/gravity-2013/
Production Design,Her,K.K. Barrett; Gene Serdena,0,2014,https://letterboxd.com/film/her/
Production Design,12 Years a Slave,Adam Stockhausen; Alice Baker,0,2014,https://letterboxd.com/film/12-years-a-slave/
Short Film (Animated),Mr. Hublot,Laurent Witz and Alexandre Espigares,1,2014,https://letterboxd.com/film/mr-hublot/
Short Film (Animated),Feral,Daniel Sousa and Dan Golden,0,2014,https://letterboxd.com/film/feral/
Short Film (Animated),Get a Horse!,Lauren MacMullan and Dorothy McKim,0,2014,https://letterboxd.com/film/get-a-horse/
Short Film (Animated),Possessions,Shuhei Morita,0,2014,https://letterboxd.com/film/possessions/
Short Film (Animated),Room on the Broom,Max Lang and Jan Lachauer,0,2014,https://letterboxd.com/film/room-on-the-broom/
Short Film (Live Action),Helium,Anders Walter and Kim Magnusson,1,2014,https://letterboxd.com/film/helium/
Short Film (Live Action),Aquel No Era Yo (That Wasn't Me),Esteban Crespo,0,2014,https://letterboxd.com/film/that-wasnt-me/
Short Film (Live Action),Avant Que De Tout Perdre (Just before Losing Everything),Xavier Legrand and Alexandre Gavras,0,2014,https://letterboxd.com/film/just-before-losing-everything/
Short Film (Live Action),Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),Selma Vilhunen and Kirsikka Saari,0,2014,https://letterboxd.com/film/do-i-have-to-take-care-of-everything/
Short Film (Live Action),The Voorman Problem,Mark Gill and Baldwin Li,0,2014,https://letterboxd.com/film/the-voorman-problem/
Sound Editing,Gravity,Glenn Freemantle,1,2014,https://letterboxd.com/film/gravity-2013/
Sound Editing,All Is Lost,Steve Boeddeker and Richard Hymns,0,2014,https://letterboxd.com/film/all-is-lost/
Sound Editing,Captain Phillips,Oliver Tarney,0,2014,https://letterboxd.com/film/captain-phillips/
Sound Editing,The Hobbit: The Desolation of Smaug,Brent Burge and Chris Ward,0,2014,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
Sound Editing,Lone Survivor,Wylie Stateman,0,2014,https://letterboxd.com/film/lone-survivor/
Sound Mixing,Gravity,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",1,2014,https://letterboxd.com/film/gravity-2013/
Sound Mixing,Captain Phillips,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro",0,2014,https://letterboxd.com/film/captain-phillips/
Sound Mixing,The Hobbit: The Desolation of Smaug,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson",0,2014,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
Sound Mixing,Inside Llewyn Davis,"Skip Lievsay, Greg Orloff and Peter F. Kurland",0,2014,https://letterboxd.com/film/inside-llewyn-davis/
Sound Mixing,Lone Survivor,"Andy Koyama, Beau Borders and David Brownlow",0,2014,https://letterboxd.com/film/lone-survivor/
Visual Effects,Gravity,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",1,2014,https://letterboxd.com/film/gravity-2013/
Visual Effects,The Hobbit: The Desolation of Smaug,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds",0,2014,https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
Visual Effects,Iron Man 3,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick",0,2014,https://letterboxd.com/film/iron-man-3/
Visual Effects,The Lone Ranger,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier",0,2014,https://letterboxd.com/film/the-lone-ranger/
Visual Effects,Star Trek Into Darkness,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton",0,2014,https://letterboxd.com/film/star-trek-into-darkness/
Writing (Adapted Screenplay),12 Years a Slave,John Ridley,1,2014,https://letterboxd.com/film/12-years-a-slave/
Writing (Adapted Screenplay),Before Midnight,"Richard Linklater, Julie Delpy, Ethan Hawke",0,2014,https://letterboxd.com/film/before-midnight/
Writing (Adapted Screenplay),Captain Phillips,Billy Ray,0,2014,https://letterboxd.com/film/captain-phillips/
Writing (Adapted Screenplay),Philomena,Steve Coogan and Jeff Pope,0,2014,https://letterboxd.com/film/philomena/
Writing (Adapted Screenplay),The Wolf of Wall Street,Terence Winter,0,2014,https://letterboxd.com/film/the-wolf-of-wall-street/
Writing (Original Screenplay),Her,Spike Jonze,1,2014,https://letterboxd.com/film/her/
Writing (Original Screenplay),American Hustle,Eric Warren Singer and David O. Russell,0,2014,https://letterboxd.com/film/american-hustle/
Writing (Original Screenplay),Blue Jasmine,Woody Allen,0,2014,https://letterboxd.com/film/blue-jasmine/
Writing (Original Screenplay),Dallas Buyers Club,Craig Borten & Melisa Wallack,0,2014,https://letterboxd.com/film/dallas-buyers-club/
Writing (Original Screenplay),Nebraska,Bob Nelson,0,2014,https://letterboxd.com/film/nebraska/
